technical_know_how,personal_traits,social_characteristics,motivating_factors
Opportunists,Psychiatric conditions,Misguided,Risk tolerance
Goal oriented,Insensitive,Broken homes/families,Lust
Resourceful,Identity crisis,Broken homes/families,Experimentation
Well trained,Coward,Mass-destruction,Manipulate others
Focussed,Chaotic state of mind,Inferiority complex,Curiosity
Smart,Inhuman Psyche,Mass-destruction,Political beliefs
Well trained,Conviction in Violence,Rebellious,Political support
Well-organized,Inhuman Psyche,Reinforcement available,Disregard for law
Sharp (intelligent),Secretive,Lack Social skills,Emotions
Well-networked,Loner,Brain-washed,Intolerance
Well-organized,Determined,Rebellious,Lust
Goal oriented,"Psychologically
Deviant",Rationalization,Lust
Focussed,Vengeful,Need to outsmart others,Political support
Well-networked,Vengeful,Radical,No fear of punishment
Strategic planners,Secretive,"Insufficient social
support",Thrill-seeking
Resourceful,Coward,Anti-state,"Religious
fundamentalism"
Focussed,Insensitive,Misguided,Emotions
Skilful,Vengeful,Anti-state,Disregard for law
Smart,Control freak,Misguided,Plain boredom
Creative,Insensitive,Anti-social,Manipulate others
Goal oriented,Inhuman Psyche,Mass-destruction,Need to Control others
Skilful,Insensitive,Rebellious,Revenge
Skilful,Control freak,Need to outsmart others,Political support
Smart,Passionate,Lack Social skills,"Greed (easy, quick money)"
Creative,Identity crisis,Misguided,"Concealed
existence"
Creative,Coercive,Mass-destruction,Emotions
Well-networked,Psychiatric conditions,Rationalization,Revenge
Focussed,Coercive,Inferiority complex,"Greed (easy, quick money)"
Strategic planners,"Psychologically
Deviant",Reinforcement available,Curiosity
Well-organized,Emotional,Anti-state,"Concealed
existence"
Well trained,Conviction in Violence,Need to outsmart others,"Enhancing self-
worth"
Focussed,Coercive,Inferiority complex,"Enhancing self-
worth"
Resourceful,Inhuman Psyche,Rebellious,"Concealed
existence"
Focussed,Aggressive,Mass-destruction,Intolerance
Resourceful,Chaotic state of mind,Radical,Need to Control others
Well-trained,"Psychologically
Deviant",Lack Social skills,Thrill-seeking
Smart,Selfish,"Insufficient social
support",Curiosity
Skilful,Impatient,Need to outsmart others,Revenge
Well-trained,Chaotic state of mind,Need to outsmart others,Political support
Skilful,Insensitive,Reinforcement available,Lust
Goal oriented,Gullible,Social dissatisfaction,"Greed (easy, quick money)"
Opportunists,Identity crisis,"Insufficient social
support",Need to Control others
Focussed,Control freak,Broken homes/families,Need to Control others
Resourceful,Risk-taker,Reinforcement available,Revenge
Goal oriented,Inhuman Psyche,Social dissatisfaction,Thrill-seeking
Strategic planners,Selfish,Unlawful,Plain boredom
Well-trained,Chaotic state of mind,Need to outsmart others,"Greed (easy, quick money)"
Focussed,Conviction in Violence,Brain-washed,Political support
Strategic planners,Inhuman Psyche,Low self-worth,Curiosity
Sharp (intelligent),Vengeful,Unlawful,Anger
Focussed,Control freak,Mass-destruction,Intolerance
Well-organized,Impatient,"Insufficient social
support",Lust
Well-organized,Insensitive,Low self-worth,"Enhancing self-
worth"
Sharp (intelligent),Vengeful,"Insufficient social
support","Concealed
existence"
Well-networked,Emotional,Anti-establishment,Political support
Focussed,Conviction in Violence,Misguided,"Greed (easy, quick money)"
Bully,Coward,Socially inept,Experimentation
Creative,Inhuman Psyche,Reinforcement available,Experimentation
Goal oriented,Chaotic state of mind,Anti-establishment,Experimentation
Well-organized,Inhuman Psyche,Low self-worth,Anger
Well-trained,Impatient,Misguided,Intolerance
Skilful,Selfish,Marginalised,Disregard for law
Opportunists,Secretive,Intolerance to diversity of opinion,Intolerance
Smart,Coercive,Mass-destruction,Risk tolerance
Well-organized,Immoral/ Unethical,Need to outsmart others,Revenge
Opportunists,Chaotic state of mind,"Insufficient social
support","Religious
fundamentalism"
Well-organized,Incited,Brain-washed,Risk tolerance
Bully,Strong-willed,Broken homes/families,Political support
Sharp (intelligent),Coercive,Mass-destruction,Disregard for law
Resourceful,Identity crisis,Anti-social,Intolerance
Well trained,Control freak,Inferiority complex,"Enhancing self-
worth"
Smart,"Psychologically
Deviant",Reinforcement available,No fear of punishment
Resourceful,Coercive,Inferiority complex,Political beliefs
Bully,Emotional,Reinforcement available,"Concealed
existence"
Opportunists,Chaotic state of mind,Low self-worth,Anger
Well-networked,Impatient,Rebellious,Political support
Focussed,Aggressive,Anti-state,Political support
Strategic planners,Secretive,Radical,"Enhancing self-
worth"
Opportunists,Coward,Social dissatisfaction,Disregard for law
Skilful,Coward,Social dissatisfaction,"Greed (easy, quick money)"
Goal oriented,Vengeful,Socially inept,Political beliefs
Well trained,Passionate,Anti-establishment,Anger
Skilful,Aggressive,Marginalised,Thrill-seeking
Creative,Conviction in Violence,Social dissatisfaction,Lust
Resourceful,Impatient,Lack Social skills,Risk tolerance
Goal oriented,Gullible,Radical,Monetary Gain
Well-networked,Gullible,Inferiority complex,Disregard for law
Focussed,Coercive,Social dissatisfaction,"Greed (easy, quick money)"
Well trained,Inhuman Psyche,Low self-worth,Disregard for law
Sharp (intelligent),Vengeful,Rationalization,Anger
Opportunists,Immoral/ Unethical,Broken homes/families,"Concealed
existence"
Strategic planners,Insensitive,Unlawful,Revenge
Goal oriented,Secretive,Rationalization,Manipulate others
Well-networked,Risk-taker,"Insufficient social
support","Greed (easy, quick money)"
Goal oriented,Insensitive,"Insufficient social
support",Manipulate others
Well trained,Loner,Rationalization,"Greed (easy, quick money)"
Skilful,Incited,Misguided,Anger
Bully,Identity crisis,Rebellious,"Religious
fundamentalism"
Sharp (intelligent),Insensitive,Intolerance to diversity of opinion,Thrill-seeking
Well-organized,Loner,Rationalization,Political beliefs
Sharp (intelligent),Control freak,Lack Social skills,No fear of punishment
Focussed,Immoral/ Unethical,Need to outsmart others,Revenge
Well trained,Selfish,Low self-worth,"Greed (easy, quick money)"
Skilful,Inhuman Psyche,Low self-worth,Revenge
Well trained,Strong-willed,Rebellious,"Greed (easy, quick money)"
Sharp (intelligent),Insensitive,Inferiority complex,"Religious
fundamentalism"
Bully,Risk-taker,Anti-social,No fear of punishment
Sharp (intelligent),Loner,Need to outsmart others,"Greed (easy, quick money)"
Sharp (intelligent),Loner,Unlawful,Disregard for law
Bully,Coercive,Brain-washed,Thrill-seeking
Sharp (intelligent),Insensitive,Rebellious,Risk tolerance
Bully,Secretive,Intolerance to diversity of opinion,"Religious
fundamentalism"
Skilful,Inhuman Psyche,Brain-washed,Need to Control others
Focussed,Insensitive,Reinforcement available,Emotions
Resourceful,Insensitive,Anti-establishment,"Concealed
existence"
Resourceful,Control freak,Rationalization,Manipulate others
Well-organized,Risk-taker,Social dissatisfaction,Anger
Creative,Coercive,Need to outsmart others,Curiosity
Resourceful,Immoral/ Unethical,"Insufficient social
support",Plain boredom
Skilful,Coercive,Anti-state,No fear of punishment
Focussed,Vengeful,Marginalised,"Religious
fundamentalism"
Creative,Emotional,Rationalization,Emotions
Sharp (intelligent),Chaotic state of mind,Rebellious,Curiosity
Well trained,Emotional,Rationalization,No fear of punishment
Well-trained,Chaotic state of mind,Socially inept,Lust
Sharp (intelligent),Control freak,Misguided,Thrill-seeking
Creative,Impatient,Low self-worth,Experimentation
Well-organized,Insensitive,Broken homes/families,Lust
Smart,Immoral/ Unethical,Anti-social,Intolerance
Opportunists,Psychiatric conditions,Broken homes/families,Disregard for law
Creative,Aggressive,Intolerance to diversity of opinion,Manipulate others
Well trained,Insensitive,Need to outsmart others,"Religious
fundamentalism"
Creative,Conviction in Violence,Need to outsmart others,Disregard for law
Skilful,Risk-taker,Low self-worth,Emotions
Smart,Loner,Anti-establishment,Emotions
Sharp (intelligent),Coercive,Marginalised,Risk tolerance
Skilful,Passionate,Anti-state,"Enhancing self-
worth"
Strategic planners,Selfish,Marginalised,Emotions
Well-networked,Risk-taker,Anti-social,Revenge
Opportunists,Identity crisis,Radical,Risk tolerance
Resourceful,Control freak,"Insufficient social
support",Revenge
Well-organized,Passionate,Reinforcement available,Political beliefs
Smart,Chaotic state of mind,Rationalization,Revenge
Focussed,Vengeful,Lack Social skills,Revenge
Creative,Passionate,Mass-destruction,Intolerance
Resourceful,Psychiatric conditions,Misguided,Political beliefs
Goal oriented,Aggressive,Lack Social skills,No fear of punishment
Sharp (intelligent),Conviction in Violence,Lack Social skills,Thrill-seeking
Opportunists,Risk-taker,Low self-worth,Manipulate others
Skilful,Coward,Rebellious,No fear of punishment
Skilful,Secretive,Anti-establishment,Political beliefs
Well-trained,Insensitive,"Insufficient social
support",Monetary Gain
Sharp (intelligent),Incited,Rationalization,Thrill-seeking
Well-organized,Loner,Anti-establishment,Monetary Gain
Smart,Secretive,"Insufficient social
support",Experimentation
Well trained,Selfish,Intolerance to diversity of opinion,"Greed (easy, quick money)"
Resourceful,Insensitive,Anti-social,"Greed (easy, quick money)"
Bully,Emotional,Rationalization,Need to Control others
Well-organized,"Psychologically
Deviant",Lack Social skills,Emotions
Goal oriented,Psychiatric conditions,Radical,"Enhancing self-
worth"
Focussed,Identity crisis,Socially inept,Intolerance
Sharp (intelligent),Conviction in Violence,Low self-worth,Manipulate others
Well-organized,Loner,"Insufficient social
support",Anger
Resourceful,Loner,Low self-worth,Manipulate others
Creative,Conviction in Violence,Inferiority complex,Anger
Resourceful,Coercive,Mass-destruction,Lust
Well-networked,Psychiatric conditions,Anti-state,Revenge
Resourceful,Strong-willed,Radical,Risk tolerance
Well-organized,Secretive,Rebellious,"Religious
fundamentalism"
Goal oriented,Incited,Anti-state,Plain boredom
Focussed,Loner,Misguided,Thrill-seeking
Goal oriented,Chaotic state of mind,Radical,Monetary Gain
Strategic planners,Identity crisis,Radical,Political beliefs
Sharp (intelligent),Control freak,Intolerance to diversity of opinion,Risk tolerance
Strategic planners,Impatient,Low self-worth,Monetary Gain
Opportunists,Psychiatric conditions,"Insufficient social
support","Religious
fundamentalism"
Creative,Inhuman Psyche,Mass-destruction,Thrill-seeking
Well-trained,Identity crisis,"Insufficient social
support",Monetary Gain
Well-networked,Incited,Mass-destruction,Disregard for law
Creative,Determined,"Insufficient social
support","Greed (easy, quick money)"
Strategic planners,Coercive,Rebellious,Revenge
Well-organized,Strong-willed,Misguided,Disregard for law
Focussed,"Psychologically
Deviant",Anti-establishment,Emotions
Creative,Incited,Social dissatisfaction,Revenge
Smart,Secretive,"Insufficient social
support",Disregard for law
Opportunists,Identity crisis,Inferiority complex,Emotions
Sharp (intelligent),Inhuman Psyche,Anti-establishment,Experimentation
Focussed,Determined,Marginalised,Disregard for law
Creative,Selfish,Anti-establishment,Manipulate others
Well-networked,Strong-willed,Intolerance to diversity of opinion,Manipulate others
Skilful,Conviction in Violence,Lack Social skills,Political support
Goal oriented,Insensitive,Marginalised,Experimentation
Well-trained,Vengeful,Anti-state,Emotions
Bully,Risk-taker,Inferiority complex,Curiosity
Well-networked,Coercive,Marginalised,"Religious
fundamentalism"
Focussed,"Psychologically
Deviant",Anti-social,"Concealed
existence"
Opportunists,Psychiatric conditions,Anti-social,Risk tolerance
Focussed,Secretive,Anti-social,Emotions
Well-trained,Control freak,Marginalised,"Enhancing self-
worth"
Well-trained,Passionate,Intolerance to diversity of opinion,Political support
Well-organized,Insensitive,Socially inept,"Enhancing self-
worth"
Opportunists,Coward,Brain-washed,Need to Control others
Focussed,Determined,Misguided,Manipulate others
Focussed,Gullible,Anti-state,"Enhancing self-
worth"
Well trained,Passionate,Need to outsmart others,Emotions
Skilful,Control freak,Anti-social,Monetary Gain
Well trained,Conviction in Violence,"Insufficient social
support",Monetary Gain
Creative,Insensitive,Rebellious,Lust
Skilful,Determined,Broken homes/families,Monetary Gain
Focussed,Conviction in Violence,Social dissatisfaction,"Religious
fundamentalism"
Well-trained,Coward,Need to outsmart others,"Enhancing self-
worth"
Sharp (intelligent),Risk-taker,Rebellious,Experimentation
Bully,Secretive,Rebellious,Intolerance
Well-networked,Coercive,Socially inept,Emotions
Well-organized,Strong-willed,Need to outsmart others,Manipulate others
Focussed,Insensitive,Rationalization,Experimentation
Bully,Vengeful,Reinforcement available,Thrill-seeking
Resourceful,Risk-taker,Low self-worth,"Concealed
existence"
Skilful,Vengeful,Mass-destruction,Intolerance
Well-organized,Passionate,Anti-establishment,"Concealed
existence"
Goal oriented,Immoral/ Unethical,Marginalised,Thrill-seeking
Well-organized,Loner,Low self-worth,Intolerance
Creative,Aggressive,Anti-social,Need to Control others
Focussed,Gullible,Need to outsmart others,Emotions
Goal oriented,Passionate,Brain-washed,Anger
Resourceful,Inhuman Psyche,Anti-establishment,Lust
Skilful,Strong-willed,Anti-state,Political support
Well-trained,Insensitive,Rebellious,Intolerance
Focussed,Insensitive,Anti-social,Experimentation
Strategic planners,Secretive,Radical,"Concealed
existence"
Bully,Conviction in Violence,Broken homes/families,Monetary Gain
Resourceful,Conviction in Violence,Marginalised,Anger
Focussed,Emotional,Inferiority complex,Political beliefs
Bully,Psychiatric conditions,Anti-social,Risk tolerance
